algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id
glmnet,continuous,poisson,raw_incoming,0.03185177631827324,0.007077078610583178,features_cell_v1,1
glmnet,continuous,poisson,raw_outgoing,0.040999663504044596,0.015206007627625664,features_cell_v1,2
glmnet,continuous,poisson,raw_bidirectional,0.03268455175080122,0.013192958253018748,features_cell_v1,3
glmnet,continuous,poisson,prop_incoming,0.067042834264641,0.014051319187034653,features_cell_v1,4
glmnet,continuous,poisson,prop_bidirectional,0.067042834264641,0.014051319187034653,features_cell_v1,5
glmnet,continuous,poisson,all_incoming,0.03916249746789375,0.010704745358999002,features_cell_v1,6
glmnet,continuous,poisson,all_outgoing,0.040999663504044596,0.015206007627625664,features_cell_v1,7
glmnet,continuous,poisson,all_bidirectional,0.030441828075158828,0.009036335708447186,features_cell_v1,8
glmnet,continuous,normal,raw_incoming,0.048626397771122445,0.009417400137930567,features_cell_v1,9
glmnet,continuous,normal,raw_outgoing,0.032795691571362126,0.013467488476339618,features_cell_v1,10
glmnet,continuous,normal,raw_bidirectional,0.043593230632019,0.00875964069409508,features_cell_v1,11
glmnet,continuous,normal,prop_incoming,0.06455109999913324,0.01386618847449937,features_cell_v1,12
glmnet,continuous,normal,prop_bidirectional,0.06455109999913324,0.01386618847449937,features_cell_v1,13
glmnet,continuous,normal,all_incoming,0.04355030186834387,0.011971284323997574,features_cell_v1,14
glmnet,continuous,normal,all_outgoing,0.032795691571362126,0.013467488476339618,features_cell_v1,15
glmnet,continuous,normal,all_bidirectional,0.0370406680769106,0.007281567564954553,features_cell_v1,16
glmnet,continuous,poisson,raw_incoming,0.03713294281483983,0.007939498029261348,features_cell_v2,17
glmnet,continuous,poisson,raw_outgoing,0.034648963925786674,0.012398658649828375,features_cell_v2,18
glmnet,continuous,poisson,raw_bidirectional,0.03492713377695883,0.01101696073527114,features_cell_v2,19
glmnet,continuous,poisson,prop_incoming,0.042281129080102356,0.010032187680369913,features_cell_v2,20
glmnet,continuous,poisson,prop_bidirectional,0.042281129080102356,0.010032187680369913,features_cell_v2,21
glmnet,continuous,poisson,all_incoming,0.045869668893268836,0.01215765863367376,features_cell_v2,22
glmnet,continuous,poisson,all_outgoing,0.034648963925786674,0.012398658649828375,features_cell_v2,23
glmnet,continuous,poisson,all_bidirectional,0.03431641920410791,0.011643395641040067,features_cell_v2,24
glmnet,continuous,normal,raw_incoming,0.03746821703491631,0.009546071288461787,features_cell_v2,25
glmnet,continuous,normal,raw_outgoing,0.025043006735764588,0.011428741161395152,features_cell_v2,26
glmnet,continuous,normal,raw_bidirectional,0.03980571010153183,0.008338604111193202,features_cell_v2,27
glmnet,continuous,normal,prop_incoming,0.042776083997910164,0.010525748836605028,features_cell_v2,28
glmnet,continuous,normal,prop_bidirectional,0.042776083997910164,0.010525748836605028,features_cell_v2,29
glmnet,continuous,normal,all_incoming,0.05624066323689045,0.011722116058853597,features_cell_v2,30
glmnet,continuous,normal,all_outgoing,0.025043006735764588,0.011428741161395152,features_cell_v2,31
glmnet,continuous,normal,all_bidirectional,0.03832838613925321,0.009738297496468823,features_cell_v2,32
glmnet,continuous,poisson,raw_incoming,0.04034067430674548,0.010116397521236038,features_cell_v1_full,33
glmnet,continuous,poisson,raw_outgoing,0.03259168930836033,0.014387099653093328,features_cell_v1_full,34
glmnet,continuous,poisson,raw_bidirectional,0.03721372036734859,0.01037363045618317,features_cell_v1_full,35
glmnet,continuous,poisson,prop_incoming,0.049698065936949136,0.009420107891645714,features_cell_v1_full,36
glmnet,continuous,poisson,prop_bidirectional,0.049698065936949136,0.009420107891645714,features_cell_v1_full,37
glmnet,continuous,poisson,all_incoming,0.03612023966739507,0.01239001518693277,features_cell_v1_full,38
glmnet,continuous,poisson,all_outgoing,0.03259168930836033,0.014387099653093328,features_cell_v1_full,39
glmnet,continuous,poisson,all_bidirectional,0.03575317162756082,0.009085101092076124,features_cell_v1_full,40
glmnet,continuous,normal,raw_incoming,0.03914250069898978,0.008151608434622568,features_cell_v1_full,41
glmnet,continuous,normal,raw_outgoing,0.0317636588854973,0.009728184971566488,features_cell_v1_full,42
glmnet,continuous,normal,raw_bidirectional,0.045439912960790585,0.00734716601378676,features_cell_v1_full,43
glmnet,continuous,normal,prop_incoming,0.05024816196443025,0.007976542230735944,features_cell_v1_full,44
glmnet,continuous,normal,prop_bidirectional,0.05024816196443025,0.007976542230735944,features_cell_v1_full,45
glmnet,continuous,normal,all_incoming,0.048955833392005516,0.011052316894131168,features_cell_v1_full,46
glmnet,continuous,normal,all_outgoing,0.0317636588854973,0.009728184971566488,features_cell_v1_full,47
glmnet,continuous,normal,all_bidirectional,0.037157736356433546,0.00808052153749736,features_cell_v1_full,48
glmnet,continuous,poisson,raw_incoming,0.03764910220495281,0.008374950803951892,features_cell_v2_full,49
glmnet,continuous,poisson,raw_outgoing,0.034731883434826985,0.01110329080798926,features_cell_v2_full,50
glmnet,continuous,poisson,raw_bidirectional,0.03229597434815919,0.007916534321851524,features_cell_v2_full,51
glmnet,continuous,poisson,prop_incoming,0.029001746476387043,0.007109563251204357,features_cell_v2_full,52
glmnet,continuous,poisson,prop_bidirectional,0.029001746476387043,0.007109563251204357,features_cell_v2_full,53
glmnet,continuous,poisson,all_incoming,0.03763076061820272,0.012290378469414939,features_cell_v2_full,54
glmnet,continuous,poisson,all_outgoing,0.034731883434826985,0.01110329080798926,features_cell_v2_full,55
glmnet,continuous,poisson,all_bidirectional,0.0358306014101733,0.008676687829066106,features_cell_v2_full,56
glmnet,continuous,normal,raw_incoming,0.033773423327013434,0.008693212571094023,features_cell_v2_full,57
glmnet,continuous,normal,raw_outgoing,0.025420927144269204,0.008538641679165244,features_cell_v2_full,58
glmnet,continuous,normal,raw_bidirectional,0.038040858861004744,0.008214717945759844,features_cell_v2_full,59
glmnet,continuous,normal,prop_incoming,0.03227306843427492,0.006296005521701203,features_cell_v2_full,60
glmnet,continuous,normal,prop_bidirectional,0.03227306843427492,0.006296005521701203,features_cell_v2_full,61
glmnet,continuous,normal,all_incoming,0.04185548683707491,0.013106111044462312,features_cell_v2_full,62
glmnet,continuous,normal,all_outgoing,0.025420927144269204,0.008538641679165244,features_cell_v2_full,63
glmnet,continuous,normal,all_bidirectional,0.03358078913035937,0.009523014404850606,features_cell_v2_full,64
glmnet,continuous,poisson,raw_incoming,0.058012885585603136,0.018997786641908748,features_cell_v1_network_v1,65
glmnet,continuous,poisson,raw_outgoing,0.06994197454818865,0.014819277968421102,features_cell_v1_network_v1,66
glmnet,continuous,poisson,raw_bidirectional,0.053864449426186456,0.019168025976989963,features_cell_v1_network_v1,67
glmnet,continuous,poisson,prop_incoming,0.13561980152427805,0.015060453808118305,features_cell_v1_network_v1,68
