algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id,roc_auc_median,roc_auc_sd
random_forest,continuous,poisson,baseline,0.02336864566867348,0.011476642826796741,features_baseline,1,NA,NA
random_forest,continuous,normal,baseline,0.02336864566867348,0.011476642826796741,features_baseline,2,NA,NA
random_forest,binary,logistic,baseline,NA,NA,features_baseline,3,0.4094202898550725,0.018564543416459637
random_forest,continuous,poisson,raw,0.027314710666947933,0.013928346282516418,features_contact_v1,4,NA,NA
random_forest,continuous,poisson,prop,0.03618109487023266,0.010459874903437817,features_contact_v1,5,NA,NA
random_forest,continuous,poisson,all,0.03208523667996471,0.011976091701502637,features_contact_v1,6,NA,NA
random_forest,continuous,normal,raw,0.027314710666947933,0.013928346282516418,features_contact_v1,7,NA,NA
random_forest,continuous,normal,prop,0.03618109487023266,0.010459874903437817,features_contact_v1,8,NA,NA
random_forest,continuous,normal,all,0.03208523667996471,0.011976091701502637,features_contact_v1,9,NA,NA
random_forest,continuous,poisson,raw,0.042216230353975065,0.012613922992584972,features_contact_v2,10,NA,NA
random_forest,continuous,poisson,prop,0.05365651491172202,0.01519127658873529,features_contact_v2,11,NA,NA
random_forest,continuous,poisson,all,0.06675840314644846,0.01611046544691532,features_contact_v2,12,NA,NA
random_forest,continuous,normal,raw,0.042216230353975065,0.012613922992584972,features_contact_v2,13,NA,NA
random_forest,continuous,normal,prop,0.05365651491172202,0.01519127658873529,features_contact_v2,14,NA,NA
random_forest,continuous,normal,all,0.06675840314644846,0.01611046544691532,features_contact_v2,15,NA,NA
random_forest,continuous,poisson,raw,0.02206788793337921,0.007167461310597674,features_contact_v3,16,NA,NA
random_forest,continuous,poisson,prop,0.029784623382507654,0.006384961782921421,features_contact_v3,17,NA,NA
random_forest,continuous,poisson,all,0.026282309988924488,0.007004199877839421,features_contact_v3,18,NA,NA
random_forest,continuous,normal,raw,0.02206788793337921,0.007167461310597674,features_contact_v3,19,NA,NA
random_forest,continuous,normal,prop,0.029784623382507654,0.006384961782921421,features_contact_v3,20,NA,NA
random_forest,continuous,normal,all,0.026282309988924488,0.007004199877839421,features_contact_v3,21,NA,NA
random_forest,continuous,poisson,raw,0.03982532059769325,0.0108405588593104,features_contact_v4,22,NA,NA
random_forest,continuous,poisson,prop,0.0464400890762159,0.009683106230759946,features_contact_v4,23,NA,NA
random_forest,continuous,poisson,all,0.05999846684146941,0.011916393316063423,features_contact_v4,24,NA,NA
random_forest,continuous,normal,raw,0.03982532059769325,0.0108405588593104,features_contact_v4,25,NA,NA
random_forest,continuous,normal,prop,0.0464400890762159,0.009683106230759946,features_contact_v4,26,NA,NA
random_forest,continuous,normal,all,0.05999846684146941,0.011916393316063423,features_contact_v4,27,NA,NA
random_forest,binary,logistic,raw,NA,NA,features_contact_v1,28,0.6601449275362319,0.021779820139041877
random_forest,binary,logistic,prop,NA,NA,features_contact_v1,29,0.6956521739130435,0.025954364700184675
random_forest,binary,logistic,all,NA,NA,features_contact_v1,30,0.6847826086956521,0.026430898787573532
random_forest,binary,logistic,raw,NA,NA,features_contact_v2,31,0.6344202898550725,0.02005784481274554
random_forest,binary,logistic,prop,NA,NA,features_contact_v2,32,0.672463768115942,0.026729250606652658
random_forest,binary,logistic,all,NA,NA,features_contact_v2,33,0.6684782608695652,0.030509049328076722
random_forest,binary,logistic,raw,NA,NA,features_contact_v3,34,0.6322463768115942,0.020673086586380267
random_forest,binary,logistic,prop,NA,NA,features_contact_v3,35,0.682608695652174,0.027503737721095385
random_forest,binary,logistic,all,NA,NA,features_contact_v3,36,0.6717391304347826,0.02487853321562179
