algorithm,outcome,model,feature_set,rmse_mean,rmse_sd,feature_file,roc_auc_trn,roc_auc_sd
glmnet,continuous,poisson,raw,10.01076401914715,0.4374975299931911,features_v1,NA,NA
glmnet,continuous,poisson,prop,9.975366822717804,0.43868030379326306,features_v1,NA,NA
glmnet,continuous,poisson,all,9.97303114017832,0.4376860318637317,features_v1,NA,NA
glmnet,continuous,normal,raw,9.920627475782194,0.4382163687028458,features_v1,NA,NA
glmnet,continuous,normal,prop,9.70934380610986,0.4196436923862365,features_v1,NA,NA
glmnet,continuous,normal,all,9.780101460657612,0.43393674864700366,features_v1,NA,NA
glmnet,binary_yes_no,logistic,raw,NA,NA,features_v1,0.6502730602730603,0.018031553841678948
glmnet,binary_yes_no,logistic,prop,NA,NA,features_v1,0.6613619713619714,0.017668083492628207
glmnet,binary_yes_no,logistic,all,NA,NA,features_v1,0.6034199134199134,0.01891561446953086
glmnet,binary_high_low,logistic,raw,NA,NA,features_v1,0.7210701754385965,0.022835788312135882
glmnet,binary_high_low,logistic,prop,NA,NA,features_v1,0.7078508771929825,0.01821227328907605
glmnet,binary_high_low,logistic,all,NA,NA,features_v1,0.7136491228070175,0.019506801083821766
glmnet,continuous,poisson,raw,10.05355179813428,0.435204056457919,features_v2,NA,NA
glmnet,continuous,poisson,prop,9.909454157029828,0.4327720948328722,features_v2,NA,NA
glmnet,continuous,poisson,all,10.052679469547906,0.44279846701804204,features_v2,NA,NA
glmnet,continuous,normal,raw,9.987638542889814,0.4273343013060614,features_v2,NA,NA
glmnet,continuous,normal,prop,9.755154534286545,0.4205654949705605,features_v2,NA,NA
glmnet,continuous,normal,all,9.81505054896978,0.42670905535636594,features_v2,NA,NA
glmnet,binary_yes_no,logistic,raw,NA,NA,features_v2,0.6079553779553779,0.013526481908158118
glmnet,binary_yes_no,logistic,prop,NA,NA,features_v2,0.603036963036963,0.017179971356497296
glmnet,binary_yes_no,logistic,all,NA,NA,features_v2,0.5542324342324342,0.020710321298730485
glmnet,binary_high_low,logistic,raw,NA,NA,features_v2,0.665719298245614,0.021996979813552635
glmnet,binary_high_low,logistic,prop,NA,NA,features_v2,0.708280701754386,0.019755098365795285
glmnet,binary_high_low,logistic,all,NA,NA,features_v2,0.7184561403508772,0.0181851445727024
glmnet,continuous,poisson,raw,10.063004506010016,0.438950827818574,features_v3,NA,NA
glmnet,continuous,poisson,prop,9.938259669021434,0.43899525382792154,features_v3,NA,NA
glmnet,continuous,poisson,all,9.992018912333217,0.43802292003726223,features_v3,NA,NA
glmnet,continuous,normal,raw,9.9396484641630245,0.4307544935284709,features_v3,NA,NA
glmnet,continuous,normal,prop,9.641242380710894,0.41986841746575715,features_v3,NA,NA
glmnet,continuous,normal,all,9.706828760947833,0.4262027690538268,features_v3,NA,NA
glmnet,binary_yes_no,logistic,raw,NA,NA,features_v3,0.6657942057942058,0.019186748397478293
glmnet,binary_yes_no,logistic,prop,NA,NA,features_v3,0.6667898767898768,0.019932309337737795
glmnet,binary_yes_no,logistic,all,NA,NA,features_v3,0.6094172494172494,0.021527509822774845
glmnet,binary_high_low,logistic,raw,NA,NA,features_v3,0.7109649122807017,0.02386103359742536
glmnet,binary_high_low,logistic,prop,NA,NA,features_v3,0.7408771929824561,0.018224608644889742
glmnet,binary_high_low,logistic,all,NA,NA,features_v3,0.7342105263157894,0.018903794757557827
glmnet,continuous,poisson,raw,10.150258497498553,0.4329942570679548,features_v4,NA,NA
glmnet,continuous,poisson,prop,9.867049703548398,0.43202551366097264,features_v4,NA,NA
glmnet,continuous,poisson,all,10.056840548432412,0.4364308665610302,features_v4,NA,NA
glmnet,continuous,normal,raw,9.946364320747318,0.42356547455740723,features_v4,NA,NA
glmnet,continuous,normal,prop,9.675095814111318,0.41392756637103156,features_v4,NA,NA
glmnet,continuous,normal,all,9.73825080177964,0.41932813711927797,features_v4,NA,NA
glmnet,binary_yes_no,logistic,raw,NA,NA,features_v4,0.6395404595404596,0.016830160361840412
glmnet,binary_yes_no,logistic,prop,NA,NA,features_v4,0.6372427572427573,0.020241312451254535
glmnet,binary_yes_no,logistic,all,NA,NA,features_v4,0.5884348984348984,0.020528659697646147
glmnet,binary_high_low,logistic,raw,NA,NA,features_v4,0.6699649122807018,0.023720237884859295
glmnet,binary_high_low,logistic,prop,NA,NA,features_v4,0.7287017543859649,0.018025053644234526
glmnet,binary_high_low,logistic,all,NA,NA,features_v4,0.7288070175438597,0.01898327801922766
