algorithm,outcome,model,feature_set,rsq_mean,rsq_sd,feature_file,id,roc_auc_trn,roc_auc_sd
glmnet,continuous,poisson,baseline,0.1602544659100459,0.0216506885831083,features_baseline,1,NA,NA
glmnet,continuous,normal,baseline,0.1559088364039331,0.02298793410149363,features_baseline,2,NA,NA
glmnet,binary_high_low,logistic,baseline,NA,NA,features_baseline,3,0.7596618357487923,0.015784523727394494
glmnet,continuous,poisson,raw,0.15723574914400357,0.02378513158993014,features_v1,4,NA,NA
glmnet,continuous,poisson,prop,0.1690427691942587,0.018922597557185714,features_v1,5,NA,NA
glmnet,continuous,poisson,all,0.15159128156956378,0.019077823793623452,features_v1,6,NA,NA
glmnet,continuous,normal,raw,0.15363332167722457,0.02171406575393496,features_v1,7,NA,NA
glmnet,continuous,normal,prop,0.17442341999329242,0.019810940495030925,features_v1,8,NA,NA
glmnet,continuous,normal,all,0.15553427038608267,0.019615206161550814,features_v1,9,NA,NA
glmnet,binary_high_low,logistic,raw,NA,NA,features_v1,10,0.7635748792270531,0.013730009134446757
glmnet,binary_high_low,logistic,prop,NA,NA,features_v1,11,0.7624637681159421,0.016690348138083663
glmnet,binary_high_low,logistic,all,NA,NA,features_v1,12,0.7642995169082125,0.01610737379045633
glmnet,continuous,poisson,raw,0.14685898145493145,0.020585124024044166,features_v2,13,NA,NA
glmnet,continuous,poisson,prop,0.16612894429283018,0.021156770690283638,features_v2,14,NA,NA
glmnet,continuous,poisson,all,0.14878964838782407,0.020942407112445487,features_v2,15,NA,NA
glmnet,continuous,normal,raw,0.14133670025709727,0.020918280968439937,features_v2,16,NA,NA
glmnet,continuous,normal,prop,0.1705623245088017,0.02148618977767492,features_v2,17,NA,NA
glmnet,continuous,normal,all,0.14981926711718746,0.021535418535354317,features_v2,18,NA,NA
glmnet,binary_high_low,logistic,raw,NA,NA,features_v2,19,0.7631400966183575,0.015376626299828819
glmnet,binary_high_low,logistic,prop,NA,NA,features_v2,20,0.7568115942028986,0.02021683154063436
glmnet,binary_high_low,logistic,all,NA,NA,features_v2,21,0.7535265700483091,0.02081040596704004
glmnet,continuous,poisson,raw,0.14400962030380576,0.023618469149259715,features_v3,22,NA,NA
glmnet,continuous,poisson,prop,0.17603194718999735,0.018601371057079166,features_v3,23,NA,NA
glmnet,continuous,poisson,all,0.16273958450455236,0.01954756002418965,features_v3,24,NA,NA
glmnet,continuous,normal,raw,0.1448524801548217,0.023724622025409824,features_v3,25,NA,NA
glmnet,continuous,normal,prop,0.18135983201148162,0.01918778462326668,features_v3,26,NA,NA
glmnet,continuous,normal,all,0.16685301851638246,0.020120806963865274,features_v3,27,NA,NA
glmnet,binary_high_low,logistic,raw,NA,NA,features_v3,28,0.7628019323671498,0.015906451500088046
glmnet,binary_high_low,logistic,prop,NA,NA,features_v3,29,0.7694202898550725,0.01761425612250144
glmnet,binary_high_low,logistic,all,NA,NA,features_v3,30,0.7597101449275362,0.017231118584056394
glmnet,continuous,poisson,raw,0.13551875556367868,0.0246268402630655,features_v4,31,NA,NA
glmnet,continuous,poisson,prop,0.16855140097844779,0.019357588361024303,features_v4,32,NA,NA
glmnet,continuous,poisson,all,0.15506061487709527,0.0197423349059729,features_v4,33,NA,NA
glmnet,continuous,normal,raw,0.13512915146048385,0.02414027327579769,features_v4,34,NA,NA
glmnet,continuous,normal,prop,0.1722634518427729,0.019491446562124988,features_v4,35,NA,NA
glmnet,continuous,normal,all,0.15679405588200954,0.020260007793842207,features_v4,36,NA,NA
glmnet,binary_high_low,logistic,raw,NA,NA,features_v4,37,0.7490338164251208,0.014830331836612469
glmnet,binary_high_low,logistic,prop,NA,NA,features_v4,38,0.7577777777777778,0.02012027049073073
glmnet,binary_high_low,logistic,all,NA,NA,features_v4,39,0.7518840579710145,0.020352512662375005
